-939955;7418856;0.1485;0.0066;0.1547;0.2970
-939755;10134823;0.1485;0.0068;0.2113;0.2970
-939489;7210646;0.1489;0.0071;0.1504;0.2977
-939398;8477349;0.1485;0.0071;0.1768;0.2970
-938832;6630743;0.1710;0.0077;0.1383;0.3420
-938685;6992108;0.1568;0.0079;0.1458;0.3136
-938228;6894888;0.1637;0.0084;0.1438;0.3275
-938091;6506689;0.1744;0.0085;0.1357;0.3488
-937975;6453544;0.1775;0.0087;0.1346;0.3551
-937691;10880407;0.1485;0.0090;0.2269;0.2969
-937647;6415785;0.1831;0.0090;0.1338;0.3662
-937530;6394092;0.1902;0.0091;0.1333;0.3804
-937305;6402345;0.1813;0.0094;0.1335;0.3626
-937131;6379381;0.1808;0.0095;0.1330;0.3616
-937076;6591047;0.1742;0.0096;0.1374;0.3485
-936948;6915271;0.1587;0.0097;0.1442;0.3174
-936670;6759993;0.1708;0.0100;0.1410;0.3416
-936619;6824730;0.1677;0.0101;0.1423;0.3354
-936326;6317247;0.1840;0.0104;0.1317;0.3680
-936314;6306964;0.1830;0.0104;0.1315;0.3660
-935989;6266068;0.1892;0.0108;0.1307;0.3785
-935851;8134169;0.1485;0.0109;0.1696;0.2970
-935678;6853754;0.1664;0.0111;0.1429;0.3328
-935338;6148164;0.1983;0.0114;0.1282;0.3966
-935308;6178454;0.1942;0.0115;0.1288;0.3883
-935303;6150275;0.1983;0.0115;0.1282;0.3965
-934810;7860996;0.1485;0.0120;0.1639;0.2970
-934405;6102727;0.2000;0.0124;0.1273;0.4000
-934179;6053385;0.2025;0.0127;0.1262;0.4050
-934058;6144349;0.1902;0.0128;0.1281;0.3804
-933865;6034796;0.1962;0.0130;0.1258;0.3924
-933440;6012342;0.2019;0.0134;0.1254;0.4039
-933384;6006957;0.2095;0.0135;0.1253;0.4190
-933349;6009069;0.2095;0.0135;0.1253;0.4189
-932957;5976816;0.2059;0.0140;0.1246;0.4119
-932532;5953205;0.2185;0.0144;0.1241;0.4370
-932314;5963788;0.2067;0.0146;0.1244;0.4134
