
Gurobi 11.0.3 (linux64, Java) logging started qui 12 dez 2024 07:05:41 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 4.4613657861950539e-09
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 1239695 rows, 833994 columns and 9386231 nonzeros
Model fingerprint: 0xcaeaefc9
Model has 650 quadratic constraints
Variable types: 416676 continuous, 417318 integer (645 binary)
Coefficient statistics:
  Matrix range     [2e-03, 6e+07]
  QMatrix range    [2e-03, 1e+06]
  QLMatrix range   [1e+00, 1e+06]
  Objective range  [1e+00, 4e+08]
  Bounds range     [1e+00, 2e+08]
  RHS range        [1e+00, 5e+07]
Presolve removed 821052 rows and 415347 columns (presolve time = 5s) ...
Presolve removed 1231648 rows and 825342 columns (presolve time = 11s) ...
Presolve removed 1231648 rows and 825342 columns (presolve time = 16s) ...
Presolve removed 1231645 rows and 825340 columns
Presolve time: 16.05s
Presolved: 12437 rows, 9999 columns, 3951785 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 645 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 2319 continuous, 7680 integer (647 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.655650e+04   0.000000e+00     45s
    1172    2.0526657e-01   1.826023e-01   0.000000e+00     45s
    1232    0.0000000e+00   0.000000e+00   0.000000e+00     46s

Root relaxation: objective 0.000000e+00, 1232 iterations, 1.75 seconds (0.59 work units)
Total elapsed time = 45.85s (DegenMoves)
Total elapsed time = 53.61s (DegenMoves)
Total elapsed time = 58.79s (DegenMoves)
Total elapsed time = 63.79s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0 1159          -    0.00000      -     -   64s
     0     0 322397.081    0 1912          - 322397.081      -     -   99s
     0     0 322397.081    0 1910          - 322397.081      -     -  104s
     0     0 322800.393    0 1881          - 322800.393      -     -  139s
     0     0 322808.617    0 1876          - 322808.617      -     -  143s
     0     0 322832.918    0 1845          - 322832.918      -     -  159s
     0     0 322833.625    0 1834          - 322833.625      -     -  164s
     0     0 322833.716    0 1840          - 322833.716      -     -  168s
     0     0 322833.716    0 1728          - 322833.716      -     -  232s
     0     2 322872.630    0 1710          - 322872.630      -     -  347s
     1     5 645478.294    1 1710          - 322872.630      -  73.0  352s
     3     6 645498.843    2 1703          - 322885.040      -  30.3  357s
     5     8 645539.711    3 1703          - 322907.043      -  25.0  362s
     7    10 941268.663    4 1701          - 322972.709      -  29.9  366s
    11    14 968540.342    5 1695          - 347514.120      -  21.0  373s
    13    16 695258.799    5 1697          - 347514.120      -  25.5  400s
    15    20 695258.799    6 1699          - 347514.120      -   171  407s
    19    24 695566.186    8 1330          - 347514.120      -   147  412s
    23    28 695566.186   10 1327          - 347514.120      -   123  417s
    27    32 695566.186   12 1324          - 347514.120      -   105  422s
    31    36 695566.186   14 1318          - 347514.120      -  92.3  427s
    35    40 695566.186   16 1317          - 347514.120      -  82.6  432s
    39    44 695566.186   18 1317          - 347514.120      -  74.9  437s
    43    48 695566.186   20 1316          - 347514.120      -  68.6  443s
    47    52 695566.186   22 1311          - 347514.120      -  63.5  448s
    51    56 695566.186   24 1306          - 347514.120      -  58.8  452s
    55    60 695566.186   26 1307          - 347514.120      -  55.1  455s
    63    68 695566.186   30 1296          - 347514.120      -  48.6  463s
    67    73 695566.186   32 1295          - 347514.120      -  46.2  469s
    72    78 695566.186   35 1294          - 347514.120      -  43.3  476s
    77    84 695566.186   37 1296          - 347514.120      -  40.9  485s
    83    89 695566.186   40 1290          - 347514.120      -  38.5  492s
    88    94 695566.186   42 1288          - 347514.120      -  36.6  499s
    93    99 695566.186   45 1288          - 347514.120      -  35.3  505s
    98   105 695566.186   48 1284          - 347514.120      -  34.0  511s
   104   111 695566.186   51 1281          - 347514.120      -  32.7  517s
   110   117 695566.186   54 1274          - 347514.120      -  31.7  524s
   116   124 695835.159   57 1270          - 347514.120      -  30.9  532s
   123   131 695835.159   60 1266          - 347514.120      -  30.8  540s
   130   139 696104.132   63 1269          - 347514.120      -  29.4  549s
   138   148 696104.132   67 1267          - 347514.120      -  28.5  555s
   147   157 696104.132   71 1264          - 347514.120      -  27.1  560s
   156   166 696104.132   75 1261          - 347514.120      -  26.0  566s
   165   173 696104.132   79 1262          - 347514.120      -  25.1  570s
   172   181 696105.803   81 1260          - 347514.120      -  24.8  576s
   180   193 696105.803   85 1246          - 347514.120      -  24.1  582s
   192   202 696105.803   91 1243          - 347514.120      -  22.9  592s
   201   211 696105.803   95 1232          - 347514.120      -  22.2  601s
