
Gurobi 11.0.3 (linux64, Java) logging started qui 12 dez 2024 10:10:42 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 4.4613657861950539e-09
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 1239695 rows, 833994 columns and 9386231 nonzeros
Model fingerprint: 0xf04f3934
Model has 650 quadratic constraints
Variable types: 416676 continuous, 417318 integer (645 binary)
Coefficient statistics:
  Matrix range     [2e-03, 6e+07]
  QMatrix range    [2e-03, 1e+06]
  QLMatrix range   [1e+00, 1e+06]
  Objective range  [1e+00, 4e+08]
  Bounds range     [1e+00, 2e+08]
  RHS range        [1e+00, 3e+06]
  QRHS range       [2e-01, 2e-01]
Presolve removed 811117 rows and 405413 columns (presolve time = 5s) ...
Presolve removed 1226462 rows and 820757 columns (presolve time = 10s) ...
Presolve removed 1231645 rows and 825340 columns
Presolve time: 14.80s
Presolved: 12437 rows, 9999 columns, 3951785 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 645 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 2319 continuous, 7680 integer (647 binary)
Found heuristic solution: objective 2.032523e+08

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.447398e+04   0.000000e+00     55s
     831    2.1639174e-01   0.000000e+00   0.000000e+00     55s

Root relaxation: objective 0.000000e+00, 831 iterations, 1.68 seconds (0.20 work units)
Total elapsed time = 55.75s (DegenMoves)
Total elapsed time = 60.15s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  961 2.0325e+08    0.00000   100%     -   60s
     0     0 227741.731    0  785 2.0325e+08 227741.731   100%     -   68s
     0     0 1080237.92    0  758 2.0325e+08 1080237.92  99.5%     -   78s
     0     0 1086794.68    0  792 2.0325e+08 1086794.68  99.5%     -   88s
     0     0 1096945.74    0  807 2.0325e+08 1096945.74  99.5%     -   98s
     0     0 1098762.55    0  808 2.0325e+08 1098762.55  99.5%     -  107s
     0     0 1098762.55    0  808 2.0325e+08 1098762.55  99.5%     -  110s
     0     0 1100673.03    0  808 2.0325e+08 1100673.03  99.5%     -  113s
     0     0 1100673.03    0  808 2.0325e+08 1100673.03  99.5%     -  115s
     0     0 1100702.16    0  808 2.0325e+08 1100702.16  99.5%     -  118s
     0     0 1104031.84    0  808 2.0325e+08 1104031.84  99.5%     -  131s
     0     2 1104031.84    0  808 2.0325e+08 1104031.84  99.5%     -  216s
     1     4 1104031.84    1  805 2.0325e+08 1104031.84  99.5%  22.0  220s
     5     8 1104031.84    2  801 2.0325e+08 1104031.84  99.5%  13.0  227s
     7    10 1104031.84    3  685 2.0325e+08 1104031.84  99.5%  10.1  230s
     9    12 1104031.84    3  690 2.0325e+08 1104031.84  99.5%  14.4  236s
    11    14 1104031.84    4  686 2.0325e+08 1104031.84  99.5%  14.1  240s
    17    21 1104767.71    7  671 2.0325e+08 1104031.84  99.5%  11.1  246s
    22    25 1106808.36    9  788 2.0325e+08 1104031.84  99.5%   9.9  250s
H   27    30                    2.029691e+08 1104031.84  99.5%   9.1  259s
    29    32 1107923.40   13  776 2.0297e+08 1104031.84  99.5%   9.1  260s
    35    39 1110780.36   15  774 2.0297e+08 1104031.84  99.5%   8.3  268s
    38    41 1111564.02   16  774 2.0297e+08 1104031.84  99.5%   8.2  271s
    40    44 1111622.47   16  773 2.0297e+08 1104031.84  99.5%   8.9  276s
    45    49 1114997.69   17  773 2.0297e+08 1104031.84  99.5%   9.0  283s
    48    54 1115718.97   19  763 2.0297e+08 1104031.84  99.5%   8.9  289s
    53    58 1116361.01   22  758 2.0297e+08 1104031.84  99.5%   8.7  295s
H   54    58                    2.029637e+08 1104031.84  99.5%   8.6  295s
    57    66 1117067.61   24  757 2.0296e+08 1104031.84  99.5%   9.0  301s
    65    73 1117819.18   28  754 2.0296e+08 1104031.84  99.5%   8.6  305s
    72    77 1118084.45   30  632 2.0296e+08 1104031.84  99.5%   9.1  310s
    76    81 1119439.94   31  755 2.0296e+08 1104031.84  99.5%   9.8  317s
    80    85 1118662.58   33  755 2.0296e+08 1104031.84  99.5%   9.6  321s
H   84    90                    1.998823e+08 1104031.84  99.4%   9.3  328s
H   87    90                    1.971411e+08 1104031.84  99.4%   9.3  328s
    89    95 1121617.70   38  745 1.9714e+08 1104031.84  99.4%   9.7  332s
    94    98 1121832.88   39  751 1.9714e+08 1104031.84  99.4%  10.1  336s
    97   102 1123037.81   40  743 1.9714e+08 1104031.84  99.4%  10.0  340s
   101   107 1123206.73   42  743 1.9714e+08 1104031.84  99.4%   9.9  345s
