
Gurobi 11.0.3 (linux64, Java) logging started seg 16 dez 2024 14:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.5922415627952831e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 146159 rows, 100136 columns and 1217161 nonzeros
Model fingerprint: 0x36843444
Model has 228 quadratic constraints
Variable types: 49958 continuous, 50178 integer (223 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 144661 rows and 98208 columns
Presolve time: 0.67s
Presolved: 2355 rows, 2197 columns, 239097 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 223 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 720 continuous, 1477 integer (225 binary)
Found heuristic solution: objective 3824045.5664

Root relaxation: objective 2.544202e+05, 346 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 258806.140    0  255 1437453.52 258806.140  82.0%     -    6s
     0     0 258891.699    0  251 1437453.52 258891.699  82.0%     -    6s
     0     0 258896.510    0  254 1437453.52 258896.510  82.0%     -    6s
     0     0 258969.476    0  254 1437453.52 258969.476  82.0%     -    6s
     0     0 258973.364    0  253 1437453.52 258973.364  82.0%     -    6s
     0     0 259063.649    0  253 1437453.52 259063.649  82.0%     -    6s
     0     0 259064.886    0  254 1437453.52 259064.886  82.0%     -    6s
     0     0 259099.522    0  253 1437453.52 259099.522  82.0%     -    6s
     0     0 259102.086    0  254 1437453.52 259102.086  82.0%     -    6s
     0     0 259188.644    0  251 1437453.52 259188.644  82.0%     -    6s
     0     0 259188.981    0  251 1437453.52 259188.981  82.0%     -    6s
     0     0 259231.180    0  253 1437453.52 259231.180  82.0%     -    6s
     0     0 259236.347    0  257 1437453.52 259236.347  82.0%     -    7s
     0     0 259322.738    0  255 1437453.52 259322.738  82.0%     -    7s
     0     0 259324.021    0  257 1437453.52 259324.021  82.0%     -    7s
     0     0 259354.223    0  253 1437453.52 259354.223  82.0%     -    7s
     0     0 259357.789    0  255 1437453.52 259357.789  82.0%     -    7s
     0     0 259398.902    0  255 1437453.52 259398.902  82.0%     -    7s
     0     0 259403.324    0  259 1437453.52 259403.324  82.0%     -    7s
     0     0 259501.298    0  254 1437453.52 259501.298  81.9%     -    7s
     0     0 259589.033    0  253 1437453.52 259589.033  81.9%     -    7s
     0     0 259589.661    0  254 1437453.52 259589.661  81.9%     -    7s
     0     0 259628.958    0  254 1437453.52 259628.958  81.9%     -    7s
     0     0 259636.015    0  256 1437453.52 259636.015  81.9%     -    7s
