Goal_10;107214;0.0;0.5;93203;263528.0770258279;0.49666044500557543;0;0.0
Goal_3;107214;0.0;0.1111111111111111;96150;497810.9111374173;0.34173550509901307;3600;0.07784472242864184
Goal_4;107214;0.0;0.16666666666666666;97098;544907.9277904048;0.3409542280995303;3600;0.09248066997776369
Goal_2;107214;0.0;0.05555555555555555;96089;505318.2950860339;0.3432835772838735;3600;0.0830394323275813
Goal_1;107214;0.0;0.0;94713;472343.61480782845;0.3393831695986047;3600;0.08016604336511562
Goal_5;107214;0.0;0.2222222222222222;96694;530093.0768649494;0.34003279096955213;3600;0.05408658688720734
Goal_6;107214;0.0;0.2777777777777778;96098;506187.4602153382;0.3395762801550922;3600;0.07073499241829992
Goal_7;107214;0.0;0.3333333333333333;96065;496029.73749378114;0.337963856466437;3600;0.05486771345246329
Goal_8;107214;0.0;0.38888888888888884;93072;300203.87218337675;0.38888800585318434;3600;0.008974293512682346
Goal_9;107214;0.0;0.4444444444444444;92186;235347.95207001694;0.44444437897957845;3600;0.0023402624539053374
Goal_20;107214;348222.5548190283;0.5;95239;348221.3015258279;0.4874136939962984;0;0.0
Goal_11;107214;348222.5548190283;0.0;95473;497180.1318327416;0.33992377504878313;3600;0.11757391751451406
Goal_19;107214;348222.5548190283;0.4444444444444444;95115;348251.5880369605;0.4444450111062354;2037;1.2975349612011098E-7
Goal_13;107214;348222.5548190283;0.1111111111111111;95572;475637.0647381947;0.3401842360824607;3600;0.03459757097077911
Goal_16;107214;348222.5548190283;0.2777777777777778;97333;549608.7660044322;0.34034473410928584;3600;0.09648007362707
Goal_15;107214;348222.5548190283;0.2222222222222222;95958;491553.0442615732;0.3380147699171067;3600;0.02375916999983034
Goal_14;107214;348222.5548190283;0.16666666666666666;97619;571507.7542682489;0.34033687950505703;3600;0.08160783839022998
Goal_12;107214;348222.5548190283;0.05555555555555555;96774;533969.0366166376;0.3435222803735706;3600;0.10531240867682277
Goal_17;107214;348222.5548190283;0.3333333333333333;95954;491455.00631326134;0.33792124570237336;3600;0.031277895828358215
Goal_29;107214;696445.1096380566;0.4444444444444444;102418;696441.308425828;0.4205417344796436;0;0.0
Goal_30;107214;696445.1096380566;0.5;102418;696441.308425828;0.4205417344796436;0;0.0
Goal_18;107214;348222.5548190283;0.38888888888888884;94365;348286.97470649343;0.388890342113971;3600;0.012157551084139679
Goal_21;107214;696445.1096380566;0.0;98767;696846.670723135;0.3311656403811192;3600;0.07410093558250261
Goal_22;107214;696445.1096380566;0.05555555555555555;98490;696444.7456553429;0.3327418486837051;3600;0.13982889055312672
Goal_23;107214;696445.1096380566;0.1111111111111111;98998;697282.7733896278;0.33284496772693856;3600;0.09602365940857892
Goal_24;107214;696445.1096380566;0.16666666666666666;98862;697112.9869860832;0.33043789841627563;3600;0.06906685205812244
Goal_25;107214;696445.1096380566;0.2222222222222222;98808;700451.9895549713;0.33217783590799344;3600;0.14708577610046428
Goal_27;107214;696445.1096380566;0.3333333333333333;98611;690022.0859641723;0.3351802115924732;3600;0.3791055280121902
Goal_26;107214;696445.1096380566;0.2777777777777778;98487;697081.1497875508;0.3308106111360048;3600;0.4098188855141432
Goal_38;107214;1044667.6644570848;0.38888888888888884;105233;1037781.232656387;0.380316477108569;1;0.0
Goal_28;107214;696445.1096380566;0.38888888888888884;102131;696442.9214033996;0.38887857709809676;3600;0.016003260090344296
Goal_39;107214;1044667.6644570848;0.4444444444444444;105233;1031685.317656387;0.3803164771085901;1;0.0
Goal_31;107214;1044667.6644570848;0.0;104345;1045143.1850893722;0.33073539363089977;3600;0.20337242987818602
Goal_40;107214;1044667.6644570848;0.5;105233;1040865.889056387;0.38031647710859023;1;0.0
Goal_32;107214;1044667.6644570848;0.05555555555555555;103919;1034775.0137021;0.32815685160183505;3600;0.24392302516580516
Goal_33;107214;1044667.6644570848;0.1111111111111111;104097;1031561.4284545652;0.3268956151936528;3600;0.19539213235447495
Goal_34;107214;1044667.6644570848;0.16666666666666666;103684;1040453.1349613179;0.32665136294211194;3600;0.27738712913968927
Goal_35;107214;1044667.6644570848;0.2222222222222222;102477;1034131.3046727459;0.31959575359203407;3600;0.36913502692947026
Goal_48;107214;1392890.2192761132;0.38888888888888884;106346;1392025.8126099745;0.34462856387401847;2;0.0
Goal_49;107214;1392890.2192761132;0.4444444444444444;106346;1353362.613376088;0.3446285638740328;2;0.0
Goal_50;107214;1392890.2192761132;0.5;106346;1326111.8001258282;0.3446285638740328;2;0.0
Goal_37;107214;1044667.6644570848;0.3333333333333333;104655;1044826.0361678153;0.33346812830138184;3600;0.08014499046370151
Goal_36;107214;1044667.6644570848;0.2777777777777778;104279;1037402.8031041767;0.3298369658861823;3600;0.4722233689275329
Goal_41;107214;1392890.2192761132;0.0;104813;1392893.1546021001;0.3118145501075417;3600;0.27749034006145384
Goal_42;107214;1392890.2192761132;0.05555555555555555;104537;1392931.317496125;0.3103137424674428;3600;0.2258754386093336
Goal_43;107214;1392890.2192761132;0.1111111111111111;104696;1392892.7989927488;0.31623032841626525;3600;0.314327515384766
Goal_44;107214;1392890.2192761132;0.16666666666666666;103868;1385720.71617736;0.30934523142515563;3600;0.4087990938979936
Goal_57;107214;1741112.7740951416;0.3333333333333333;106951;1605912.1319258283;0.3236100921186666;8;0.0
Goal_58;107214;1741112.7740951416;0.38888888888888884;106951;1734137.1186760878;0.32361009211866654;4;0.0
Goal_59;107214;1741112.7740951416;0.4444444444444444;106951;1673977.8495760881;0.3236100921186666;2;0.0
Goal_60;107214;1741112.7740951416;0.5;106951;1720515.65282361;0.3236100921186666;2;0.0
Goal_45;107214;1392890.2192761132;0.2222222222222222;104226;1376641.7908732682;0.30947447259419497;3600;0.5978523515790515
Goal_46;107214;1392890.2192761132;0.2777777777777778;104508;1393349.9687639168;0.3086853921860447;3600;0.4829075702686181
Goal_47;107214;1392890.2192761132;0.3333333333333333;105466;1353341.0624102657;0.3338515032936537;3600;0.38785182344557356
Goal_51;107214;1741112.7740951416;0.0;103725;1738206.5287916702;0.2966547983651299;3600;0.30542908113711636
Goal_53;107214;1741112.7740951416;0.1111111111111111;105845;1731053.6276374944;0.3131270642433585;3600;0.32800891525859793
Goal_52;107214;1741112.7740951416;0.05555555555555555;105339;1741565.3637961247;0.30736215198586464;3600;0.1853143816630193
Goal_67;107214;2089335.3289141697;0.3333333333333333;107214;1944551.4043812375;0.31948553318915657;2;0.0
Goal_54;107214;1741112.7740951416;0.16666666666666666;106022;1650621.2645698923;0.3143750191141305;3600;0.4199274988274629
Goal_56;107214;1741112.7740951416;0.2777777777777778;105589;1734720.5844410602;0.3073952858284786;3600;0.7351293001940136
Goal_55;107214;1741112.7740951416;0.2222222222222222;105321;1531540.6508483351;0.31331174493893243;3600;0.7517285361471613
Goal_68;107214;2089335.3289141697;0.38888888888888884;107214;2014977.5154817426;0.31948553318915657;2;0.0
Goal_69;107214;2089335.3289141697;0.4444444444444444;107214;2089334.9983563873;0.31948553318915657;3;0.0
Goal_70;107214;2089335.3289141697;0.5;107214;2087789.4580841314;0.31948553318915657;2;0.0
Goal_61;107214;2089335.3289141697;0.0;105616;2037670.7843770105;0.29463577136176416;3600;0.22282323021463604
Goal_62;107214;2089335.3289141697;0.05555555555555555;105174;2026411.5438714582;0.2915928224692118;3600;0.2579105037010617
Goal_63;107214;2089335.3289141697;0.1111111111111111;105742;1991645.0232706463;0.29601720237810714;3600;0.304054163106548
Goal_77;107214;2437557.883733198;0.3333333333333333;107214;2157592.3547406313;0.3194855331891565;1;0.0
Goal_78;107214;2437557.883733198;0.38888888888888884;107214;2040176.6672236098;0.31948553318915657;2;0.0
Goal_79;107214;2437557.883733198;0.4444444444444444;107214;2409708.7429563864;0.31948553318915657;0;0.0
Goal_80;107214;2437557.883733198;0.5;107214;1960209.6600563873;0.3194855331891565;1;0.0
Goal_64;107214;2089335.3289141697;0.16666666666666666;105140;1950678.3076727865;0.2931727994840603;3600;0.3517855785386979
Goal_65;107214;2089335.3289141697;0.2222222222222222;105581;1960856.3332290223;0.2944328034015365;3600;0.7069147176999077
Goal_66;107214;2089335.3289141697;0.2777777777777778;105474;2036668.6710683452;0.292781248693575;3600;0.6365437145484798
Goal_71;107214;2437557.883733198;0.0;105897;2351095.2911564894;0.29035227826156146;3600;0.2118618706363616
Goal_72;107214;2437557.883733198;0.05555555555555555;105945;2355766.6307161693;0.29095064546673544;3600;0.17313372674043623
Goal_73;107214;2437557.883733198;0.1111111111111111;105718;2319380.9631511285;0.2905822454113584;3600;0.29499843406898174
Goal_74;107214;2437557.883733198;0.16666666666666666;105718;2330034.370176419;0.2891035752946812;3600;0.39991275623528
Goal_87;107214;2785780.4385522264;0.3333333333333333;107214;2660671.2386563863;0.31948553318915657;1;0.0
Goal_88;107214;2785780.4385522264;0.38888888888888884;107214;1900925.070776088;0.31948553318915657;2;0.0
Goal_89;107214;2785780.4385522264;0.4444444444444444;107214;2080055.09552361;0.31948553318915657;2;0.0
Goal_90;107214;2785780.4385522264;0.5;107214;1935866.678479019;0.31948553318915657;1;0.0
Goal_75;107214;2437557.883733198;0.2222222222222222;106006;2359014.948604525;0.29144658280872954;3600;0.6536876272668876
Goal_76;107214;2437557.883733198;0.2777777777777778;105729;2332183.7030832237;0.28845957865498123;3600;0.5482186957012987
Goal_81;107214;2785780.4385522264;0.0;105768;2392559.724721251;0.2888017033185087;3600;0.20962396537278197
Goal_82;107214;2785780.4385522264;0.05555555555555555;105987;2338286.644443824;0.2910380450416474;3600;0.2117349894244927
Goal_83;107214;2785780.4385522264;0.1111111111111111;105979;2354415.1098694503;0.2912317507799526;3600;0.21445267401650736
Goal_97;107214;3134002.9933712548;0.3333333333333333;107214;2014651.83752361;0.31948553318915657;0;0.0
Goal_98;107214;3134002.9933712548;0.38888888888888884;107214;2422605.5508434284;0.31948553318915607;1;0.0
Goal_99;107214;3134002.9933712548;0.4444444444444444;107214;2820569.1955881184;0.31948553318915657;0;0.0
Goal_100;107214;3134002.9933712548;0.5;107214;1991511.1006682229;0.31948553318915657;6;0.0
Goal_84;107214;2785780.4385522264;0.16666666666666666;105844;2306894.730957728;0.28945663354237716;3600;0.26145436348123785
Goal_85;107214;2785780.4385522264;0.2222222222222222;105732;2400448.4779935842;0.2884856978618604;3600;0.6192137651811068
Goal_86;107214;2785780.4385522264;0.2777777777777778;105782;2350705.336585602;0.2889006013766426;3600;0.544660171836091
Goal_92;107214;3134002.9933712548;0.05555555555555555;105476;2311883.5293402765;0.2889692451188513;3600;0.13548727429277588
Goal_91;107214;3134002.9933712548;0.0;105838;2434673.249099868;0.29019592545168954;3600;0.16070878417095
