-1402472;0;0.4494;0.1936;-0.0000;0.8989
-1402372;0;0.4490;0.1936;-0.0000;0.8979
-1401216;0;0.4489;0.1943;-0.0000;0.8978
-1398504;0;0.4477;0.1958;-0.0000;0.8955
-1396736;0;0.4473;0.1969;-0.0000;0.8946
-1395549;0;0.4466;0.1975;-0.0000;0.8931
-1395086;0;0.4463;0.1978;-0.0000;0.8927
-1394908;0;0.4460;0.1979;-0.0000;0.8920
-1393311;0;0.4460;0.1988;-0.0000;0.8920
-1393157;0;0.4454;0.1989;-0.0000;0.8908
-1391857;0;0.4448;0.1997;-0.0000;0.8896
-1390986;0;0.4442;0.2002;-0.0000;0.8884
-1389806;0;0.4440;0.2008;-0.0000;0.8880
-1388397;0;0.4438;0.2017;-0.0000;0.8875
-1387922;0;0.4430;0.2019;-0.0000;0.8860
-1387187;0;0.4426;0.2023;-0.0000;0.8852
-1386063;0;0.4420;0.2030;-0.0000;0.8840
-1385698;0;0.4419;0.2032;-0.0000;0.8838
-1385333;0;0.4419;0.2034;-0.0000;0.8838
-1384762;0;0.4413;0.2037;-0.0000;0.8826
-1384758;0;0.4410;0.2037;-0.0000;0.8819
-1382113;0;0.4401;0.2053;-0.0000;0.8801
-1381665;0;0.4393;0.2055;-0.0000;0.8787
-1377108;0;0.4380;0.2081;-0.0000;0.8760
-1377050;0;0.4374;0.2082;-0.0000;0.8748
-1374485;0;0.4373;0.2097;-0.0000;0.8747
-1374072;0;0.4367;0.2099;-0.0000;0.8734
-1374065;0;0.4361;0.2099;-0.0000;0.8722
-1370671;0;0.4347;0.2118;-0.0000;0.8694
-1368786;0;0.4346;0.2129;-0.0000;0.8692
-1367674;0;0.4336;0.2136;-0.0000;0.8673
-1366090;0;0.4334;0.2145;-0.0000;0.8667
-1363501;0;0.4314;0.2160;-0.0000;0.8627
-1363131;0;0.4311;0.2162;-0.0000;0.8623
-1362330;0;0.4305;0.2166;-0.0000;0.8610
-1361257;0;0.4298;0.2173;-0.0000;0.8595
-1358957;0;0.4287;0.2186;-0.0000;0.8575
-1356709;0;0.4277;0.2199;-0.0000;0.8553
-1355890;0;0.4275;0.2203;-0.0000;0.8551
-1355509;0;0.4271;0.2206;-0.0000;0.8543
-1353186;0;0.4266;0.2219;-0.0000;0.8533
-1352790;0;0.4258;0.2221;-0.0000;0.8516
-1349636;0;0.4236;0.2239;-0.0000;0.8472
-1346729;0;0.4229;0.2256;-0.0000;0.8458
-1346567;0;0.4221;0.2257;-0.0000;0.8442
-1344066;0;0.4217;0.2271;-0.0000;0.8435
-1341629;0;0.4215;0.2285;-0.0000;0.8429
-1340715;0;0.4204;0.2291;-0.0000;0.8407
-1339922;0;0.4200;0.2295;-0.0000;0.8400
-1339856;0;0.4199;0.2296;-0.0000;0.8398
-1337552;0;0.4196;0.2309;-0.0000;0.8391
-1337124;0;0.4195;0.2311;-0.0000;0.8390
-1336286;0;0.4194;0.2316;-0.0000;0.8389
-1336215;0;0.4191;0.2317;-0.0000;0.8381
-1334532;0;0.4168;0.2326;-0.0000;0.8336
-1331248;0;0.4156;0.2345;-0.0000;0.8313
-1330004;0;0.4149;0.2352;-0.0000;0.8297
-1326335;0;0.4144;0.2373;-0.0000;0.8288
-1326151;0;0.4129;0.2374;-0.0000;0.8258
-1322587;0;0.4125;0.2395;-0.0000;0.8250
-1321009;0;0.4105;0.2404;-0.0000;0.8210
-1320713;0;0.4097;0.2406;-0.0000;0.8193
-1317781;0;0.4093;0.2423;-0.0000;0.8187
-1315737;0;0.4084;0.2434;-0.0000;0.8168
-1313994;0;0.4068;0.2444;-0.0000;0.8136
-1311234;0;0.4059;0.2460;-0.0000;0.8118
-1309514;0;0.4052;0.2470;-0.0000;0.8104
-1307353;0;0.4052;0.2483;-0.0000;0.8104
-1306625;0;0.4048;0.2487;-0.0000;0.8097
-1306168;0;0.4034;0.2489;-0.0000;0.8067
-1305870;0;0.4030;0.2491;-0.0000;0.8060
-1304851;0;0.4021;0.2497;-0.0000;0.8042
-1302304;0;0.4018;0.2512;-0.0000;0.8036
-1300254;0;0.3995;0.2523;-0.0000;0.7990
-1293801;0;0.3989;0.2560;-0.0000;0.7978
-1293167;0;0.3960;0.2564;-0.0000;0.7920
-1289278;0;0.3942;0.2586;-0.0000;0.7884
-1285099;0;0.3924;0.2610;-0.0000;0.7847
-1279630;0;0.3896;0.2642;-0.0000;0.7791
-1275647;0;0.3877;0.2665;-0.0000;0.7753
-1270146;0;0.3858;0.2696;-0.0000;0.7715
-1265273;0;0.3828;0.2724;-0.0000;0.7657
-1260463;0;0.3809;0.2752;-0.0000;0.7617
-1254447;0;0.3795;0.2787;-0.0000;0.7591
-1254255;0;0.3779;0.2788;-0.0000;0.7557
-1248598;0;0.3774;0.2820;-0.0000;0.7548
-1247464;0;0.3753;0.2827;-0.0000;0.7505
-1240739;0;0.3748;0.2866;-0.0000;0.7496
-1240591;0;0.3743;0.2866;-0.0000;0.7486
-1240430;0;0.3743;0.2867;-0.0000;0.7486
-1238094;0;0.3706;0.2881;-0.0000;0.7412
-1232372;0;0.3701;0.2914;-0.0000;0.7402
-1231350;0;0.3685;0.2920;-0.0000;0.7370
-1223422;0;0.3674;0.2965;-0.0000;0.7348
-1222014;0;0.3669;0.2973;-0.0000;0.7338
-1221010;0;0.3668;0.2979;-0.0000;0.7336
-1220743;0;0.3630;0.2981;-0.0000;0.7261
-1212554;0;0.3625;0.3028;-0.0000;0.7250
-1209001;0;0.3607;0.3048;-0.0000;0.7213
-1205475;0;0.3574;0.3068;-0.0000;0.7148
