
Gurobi 11.0.3 (linux64, Java) logging started qua 27 nov 2024 05:45:42 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.7413914365596508e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 100597 rows, 68273 columns and 492480 nonzeros
Model fingerprint: 0x3aaf567a
Model has 189 quadratic constraints
Variable types: 34046 continuous, 34227 integer (184 binary)
Coefficient statistics:
  Matrix range     [5e-03, 1e+07]
  QMatrix range    [5e-03, 2e+05]
  QLMatrix range   [1e+00, 2e+05]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 6e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 98431 rows and 66084 columns
Presolve time: 0.44s
Presolved: 3938 rows, 2721 columns, 282022 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 184 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 731 continuous, 1990 integer (186 binary)
Found heuristic solution: objective 3.065325e+07

Root relaxation: objective 0.000000e+00, 263 iterations, 0.08 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0  305 3.0653e+07    0.00000   100%     -    3s
H    0     0                    3.056383e+07    0.00000   100%     -    3s
     0     0 163885.746    0  263 3.0564e+07 163885.746  99.5%     -    3s
     0     0 1397416.23    0  239 3.0564e+07 1397416.23  95.4%     -    4s
     0     0 1408598.19    0  294 3.0564e+07 1408598.19  95.4%     -    5s
     0     0 1418023.00    0  284 3.0564e+07 1418023.00  95.4%     -    6s
     0     0 1419615.28    0  286 3.0564e+07 1419615.28  95.4%     -    6s
     0     0 1420598.72    0  279 3.0564e+07 1420598.72  95.4%     -    7s
     0     0 1429802.24    0  283 3.0564e+07 1429802.24  95.3%     -    7s
     0     0 1429802.24    0  283 3.0564e+07 1429802.24  95.3%     -    8s
     0     0 1429802.24    0  283 3.0564e+07 1429802.24  95.3%     -   10s
     0     2 1429802.24    0  283 3.0564e+07 1429802.24  95.3%     -   16s
    29    33 1477415.68   15  232 3.0564e+07 1430804.80  95.3%   7.4   20s
H   55    58                    3.039044e+07 1430804.80  95.3%   9.1   23s
    75    86 1500592.51   42  208 3.0390e+07 1430804.80  95.3%   8.4   25s
H   82    86                    3.036868e+07 1430804.80  95.3%   7.8   25s
H  140   146                    3.023597e+07 1430804.80  95.3%   7.7   27s
H  166   175                    3.011197e+07 1430804.80  95.2%   8.7   29s
   184   195 1500609.96  117  198 3.0112e+07 1430804.80  95.2%   8.5   30s
H  194   202                    2.913766e+07 1430804.80  95.1%   8.3   30s
   259   269 1500619.42  164  187 2.9138e+07 1430804.80  95.1%   8.9   35s
H  265   269                    2.647345e+07 1430804.80  94.6%   9.7   35s
H  297   301                    2.609936e+07 1430804.80  94.5%  12.0   37s
   300   313 1500663.94  188  191 2.6099e+07 1430804.80  94.5%  11.9   60s
H  330   333                    2.578042e+07 1430804.80  94.5%  13.3   62s
H  356   368                    2.570722e+07 1430804.80  94.4%  14.2   64s
   367   392 1504390.71  220  185 2.5707e+07 1430804.80  94.4%  14.5   65s
H  408   423                    2.482211e+07 1430804.80  94.2%  14.1   68s
H  435   454                    2.470311e+07 1430804.80  94.2%  14.8   70s
H  496   545                    2.431863e+07 1430804.80  94.1%  14.6   74s
H  544   620                    1.797175e+07 1430804.80  92.0%  13.6   77s
H  568   620                    1.021349e+07 1430804.80  86.0%  14.5   77s
   619   701 1508633.13  320  186 1.0213e+07 1430804.80  86.0%  13.6   80s
H  642   701                    2641917.9278 1430804.80  45.8%  14.3   80s
H  711   772                    2640198.6091 1430804.80  45.8%  13.7   82s
H  771   826                    2575796.2793 1430804.80  44.5%  13.2   85s
H  779   826                    2506571.7113 1430804.80  42.9%  13.4   85s
H  825   836                    1959294.9256 1430804.80  27.0%  12.8   87s
H  830   836                    1954943.4456 1430804.80  26.8%  13.0   87s
   835   907 1508742.33  376  186 1954943.45 1430804.80  26.8%  12.9   90s
   987  1012 1508836.33  425  186 1954943.45 1430804.80  26.8%  13.1   95s
H  993  1012                    1844737.1055 1430804.80  22.4%  13.2   95s
  1140  1271 1508929.70  473  185 1844737.11 1430804.80  22.4%  12.9  100s
  1368  1460 1511644.27  517  187 1844737.11 1430804.80  22.4%  11.9  106s
  1578  1669 1511821.61  568  186 1844737.11 1430804.80  22.4%  12.4  111s
H 1682  1143                    1615020.0045 1430804.80  11.4%  12.7  113s
  1758  1136 1513525.34  619  190 1615020.00 1430804.80  11.4%  13.2  116s
  1979  1341 1522655.93  712  186 1615020.00 1430804.80  11.4%  13.9  122s
