
Gurobi 11.0.3 (linux64, Java) logging started ter 26 nov 2024 21:22:10 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x4550d312
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+05]
Presolve removed 17832 rows and 11922 columns
Presolve time: 0.15s
Presolved: 1188 rows, 707 columns, 13375 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 299 continuous, 408 integer (70 binary)
Found heuristic solution: objective 6443456.0075

Root relaxation: objective 0.000000e+00, 364 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4247  2193 2827012.96  132  118 2832609.94 580954.056  79.5%  12.4  206s
  4293  2220 2805646.64  142  112 2832609.94 582250.803  79.4%  12.4  210s
  4392  2272 1093845.60   68  199 2832609.94 582250.803  79.4%  12.7  218s
  4435  2304 1377622.25   78  171 2832609.94 582250.803  79.4%  12.7  221s
  4481  2341 1781527.76   90  149 2832609.94 582250.803  79.4%  12.7  226s
  4533  2371 2468358.90  103  126 2832609.94 582250.803  79.4%  12.6  230s
  4639  2401 908026.444   60  206 2832609.94 582758.826  79.4%  12.7  238s
  4712  2440 1211224.16   70  176 2832609.94 582758.826  79.4%  12.9  241s
  4775  2489 1534842.96   81  159 2832609.94 582758.826  79.4%  13.1  246s
  4845  2529 1899834.56   92  144 2832609.94 582758.826  79.4%  13.2  250s
  4909  2572 2191179.76  103  125 2832609.94 582758.826  79.4%  13.3  255s
  4973  2613 2551237.73  114  114 2832609.94 582758.826  79.4%  13.3  260s
  5035  2654 2589437.72  123  112 2832609.94 582758.826  79.4%  13.3  265s
  5097  2698 2607004.38  135  112 2832609.94 582758.826  79.4%  13.2  270s
  5162  2744 2622370.76  148  111 2832609.94 582758.826  79.4%  13.2  275s
  5229  2790 2680160.89  152  105 2832609.94 582758.826  79.4%  13.1  282s
  5298  2839 2694815.64  160  108 2832609.94 582758.826  79.4%  13.0  288s
  5370  2890 2721610.54  165  103 2832609.94 582758.826  79.4%  12.9  295s
  5445  2939 2746624.28  183  104 2832609.94 582758.826  79.4%  12.9  300s
  5525  2980 2810178.30  191   99 2832609.94 583000.166  79.4%  12.9  306s
  5614  3027 1104118.72   65  204 2832609.94 583000.166  79.4%  13.2  313s
  5715  3092 1697419.51   85  154 2832609.94 583000.166  79.4%  13.4  319s
  5814  3155 2119998.77   97  138 2832609.94 587824.304  79.2%  13.5  327s
  5924  3232 702101.151   53  226 2832609.94 587824.304  79.2%  13.7  334s
  6037  3310 1372082.35   74  180 2832609.94 587824.304  79.2%  14.0  343s
  6153  3388 2052794.82   95  141 2832609.94 587824.304  79.2%  14.1  351s
  6270  3453 2601086.33  109  120 2832609.94 587996.299  79.2%  14.1  361s
  6395  3538 1099360.62   60  202 2832609.94 587996.299  79.2%  14.2  371s
  6521  3607 1708057.24   85  162 2832609.94 587996.299  79.2%  14.2  380s
  6659  3685 2420649.08  101  141 2832609.94 598622.098  78.9%  14.4  389s
  6797  3783 1343353.37   74  175 2832609.94 598622.098  78.9%  14.8  400s
  6941  3890 2216157.91   97  133 2832609.94 598962.227  78.9%  14.8  411s
  7097  4032 1014395.12   61  213 2832609.94 605793.316  78.6%  15.0  423s
  7264  4180 1035175.96   64  206 2832609.94 611588.369  78.4%  15.3  436s
  7412  4317 2314894.34  103  133 2832609.94 611738.122  78.4%  15.4  449s
