
Gurobi 11.0.3 (linux64, Java) logging started qua 27 nov 2024 18:53:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x1374cf0f
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 1e+05]
  QRHS range       [1e-02, 1e-02]
Presolve removed 17831 rows and 11920 columns
Presolve time: 0.16s
Presolved: 1189 rows, 709 columns, 13378 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 301 continuous, 408 integer (70 binary)
Found heuristic solution: objective 5325056.7147

Root relaxation: objective 0.000000e+00, 237 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3618  2564 1752633.19   62  137 1867503.93 156774.253  91.6%  14.6  193s
  3749  2665 927624.668   42  178 1867503.93 159759.801  91.4%  14.5  201s
  3895  2776 1081071.56   46  172 1867503.93 160491.502  91.4%  14.3  207s
  4044  2875 345636.695   25  220 1867503.93 161881.997  91.3%  14.3  213s
  4152  2974 1828636.48   82  108 1867503.93 164981.440  91.2%  14.2  218s
  4269  3066 1071289.98   56  156 1867503.93 166774.847  91.1%  14.1  224s
  4369  3186 1812076.61   83  107 1867503.93 166774.847  91.1%  14.2  232s
  4510  3335 1834461.35  112  104 1867503.93 168303.787  91.0%  14.0  239s
  4687  3476 1320402.26   61  142 1867503.93 172400.463  90.8%  13.8  247s
  4869  3618 1393466.48   66  138 1867503.93 174121.377  90.7%  13.6  253s
  5035  3766 1786052.91   74  111 1867503.93 175433.041  90.6%  13.5  263s
  5213  3908 1022735.00   45  177 1867503.93 179679.189  90.4%  13.6  272s
  5377  4036 645944.421   34  197 1867503.93 181747.200  90.3%  13.6  279s
  5519  4186 1619724.94   59  152 1867503.93 185498.717  90.1%  13.7  288s
  5692  4359 947560.486   45  173 1867503.93 185612.687  90.1%  13.7  296s
  5865  4559 1594939.54   61  149 1867503.93 186903.728  90.0%  13.5  306s
  6101  4753 1726351.06   69  125 1867503.93 188515.982  89.9%  13.3  315s
  6341  4964 1010537.48   47  173 1867503.93 190556.887  89.8%  13.3  328s
  6592  5157 1691638.62   69  132 1867503.93 194190.946  89.6%  13.2  340s
  6830  5346 557060.220   29  201 1867503.93 198827.646  89.4%  13.2  353s
  7074  5542 911073.720   42  184 1867503.93 201940.052  89.2%  13.2  363s
  7286  5733 1550304.99   65  129 1867503.93 205093.194  89.0%  13.0  373s
  7518  5908 1541840.14   57  143 1867503.93 206935.498  88.9%  13.0  386s
  7735  6113 1510381.87   62  135 1867503.93 212704.872  88.6%  13.1  396s
  7969  6295 1278656.41   54  156 1867503.93 214591.009  88.5%  13.0  406s
  8178  6465 1465323.40   63  144 1867503.93 216453.502  88.4%  13.0  418s
  8378  6621 822753.326   33  191 1867503.93 217409.827  88.4%  13.0  427s
  8553  6813 293715.158   22  212 1867503.93 217891.945  88.3%  13.0  436s
  8778  6980 1457245.41   61  135 1867503.93 219109.681  88.3%  12.9  444s
  8980  7115 745159.552   36  195 1867503.93 220963.097  88.2%  12.9  452s
  9115  7308 1513782.26   57  156 1867503.93 221868.316  88.1%  12.9  465s
H 9370  7297                    1828166.1477 223312.842  87.8%  12.9  476s
  9601  7470 880106.563   43  178 1828166.15 225607.163  87.7%  12.8  485s
H 9816  7509                    1790178.8355 227637.017  87.3%  12.8  498s
 10006  7672 1151363.72   52  157 1790178.84 227778.584  87.3%  12.8  511s
 10268  7852 1665881.36   63  135 1790178.84 230332.414  87.1%  12.8  522s
 10483  7991 1680695.98   64  139 1790178.84 231957.785  87.0%  12.7  529s
 10643  8130 1566352.18   58  153 1790178.84 232492.015  87.0%  12.8  537s
 10806  8321 628983.819   31  201 1790178.84 232887.839  87.0%  12.8  548s
 11046  8516 960679.287   45  175 1790178.84 234352.248  86.9%  12.8  561s
 11284  8712 1302598.10   69  128 1790178.84 235640.248  86.8%  12.8  574s
 11515  8885 493175.170   28  208 1790178.84 236338.527  86.8%  12.7  584s
 11719  9073 531759.015   29  209 1790178.84 237915.563  86.7%  12.7  597s
 11936  9272 1031923.99   50  162 1790178.84 239692.672  86.6%  12.7  611s
 12157  9425 1342912.64   59  156 1790178.84 240924.434  86.5%  12.7  622s
 12362  9594 460010.232   25  206 1790178.84 243346.187  86.4%  12.6  633s
 12567  9764 1667919.26   75  111 1790178.84 245593.655  86.3%  12.6  643s
 12776  9934 1211693.22   56  163 1790178.84 247501.009  86.2%  12.6  653s
H12869  9934                    1790178.8351 247501.009  86.2%  12.6  653s
 12992 10053 1623373.75   81  108 1790178.84 248506.233  86.1%  12.6  662s
 13159 10190 452877.435   32  199 1790178.84 248506.233  86.1%  12.7  669s
 13327 10352 1468079.80   64  127 1790178.84 249027.701  86.1%  12.7  681s
 13525 10536 1032074.25   49  164 1790178.84 251396.526  86.0%  12.6  696s
 13766 10720 398808.281   22  215 1790178.84 253983.476  85.8%  12.6  708s
 13986 10909 961517.829   45  173 1790178.84 255723.584  85.7%  12.5  718s
 14219 11054 1008877.35   51  177 1790178.84 256080.992  85.7%  12.6  726s
 14392 11209 515157.581   31  202 1790178.84 256226.024  85.7%  12.7  734s
 14571 11385 1641437.32   64  139 1790178.84 256527.453  85.7%  12.7  742s
H14786 11529                    1781391.4013 258383.110  85.5%  12.7  752s
 14977 11712 1409142.91   56  152 1781391.40 259539.060  85.4%  12.7  765s
 15208 11867     cutoff   68      1781391.40 261912.490  85.3%  12.7  777s
 15409 12044 1679606.14   66  134 1781391.40 262794.095  85.2%  12.7  789s
 15621 12206 1599575.72   64  152 1781391.40 263319.936  85.2%  12.6  799s
 15831 12374 484923.534   25  210 1781391.40 263996.565  85.2%  12.7  809s
 16061 12499 502544.504   25  205 1781391.40 265228.768  85.1%  12.7  816s
 16210 12636 566493.940   32  199 1781391.40 265332.488  85.1%  12.7  823s
 16360 12796 937830.945   44  174 1781391.40 265454.266  85.1%  12.7  832s
H16473 12796                    1781310.5956 265454.266  85.1%  12.6  832s
H16558 12960                    1781310.5611 265920.910  85.1%  12.6  843s
 16756 13119 836688.287   36  188 1781310.56 266419.947  85.0%  12.6  853s
 16939 13288 1272009.37   57  155 1781310.56 268648.175  84.9%  12.7  863s
 17145 13428 592545.745   30  202 1781310.56 268704.227  84.9%  12.7  874s
 17311 13562 1520653.14   54  157 1781310.56 269880.081  84.8%  12.8  885s
 17521 13741 856031.350   39  185 1781310.56 270488.975  84.8%  12.8  896s
 17741 13904 750226.108   32  198 1781310.56 271088.828  84.8%  12.7  907s
 17945 14035 607229.176   32  201 1781310.56 271369.260  84.8%  12.7  915s
 18076 14179 1532378.22   56  156 1781310.56 271891.741  84.7%  12.7  926s
 18271 14355 1098709.60   44  172 1781310.56 272452.322  84.7%  12.7  937s
 18493 14519     cutoff   68      1781310.56 273249.308  84.7%  12.7  949s
 18708 14692 1317712.65   62  137 1781310.56 275963.755  84.5%  12.7  961s
 18894 14842 1331324.78   56  149 1781310.56 276420.149  84.5%  12.7  968s
 19078 14978 1111824.16   54  155 1781310.56 276603.294  84.5%  12.7  974s
 19239 15094 1187768.94   54  154 1781310.56 277449.402  84.4%  12.7  982s
 19429 15250 1049637.15   42  175 1781310.56 277483.364  84.4%  12.7  994s
 19611 15411 1156663.09   53  158 1781310.56 278414.884  84.4%  12.7 1005s
 19806 15556 1360162.31   51  156 1781310.56 279532.823  84.3%  12.7 1015s
 20009 15702 428288.053   28  207 1781310.56 281199.117  84.2%  12.7 1028s
 20175 15827 1065064.82   49  170 1781310.56 282615.772  84.1%  12.7 1036s
 20325 15995 539595.383   27  208 1781310.56 283367.377  84.1%  12.7 1046s
 20525 16154 447891.902   26  209 1781310.56 283923.865  84.1%  12.7 1058s
 20716 16312 1162250.00   56  148 1781310.56 284552.277  84.0%  12.7 1067s
 20909 16424 1035962.49   57  158 1781310.56 284674.055  84.0%  12.7 1078s
 21029 16597     cutoff   76      1781310.56 285568.947  84.0%  12.6 1090s
 21242 16764 840210.141   34  194 1781310.56 288133.281  83.8%  12.6 1103s
 21501 16886     cutoff   60      1781310.56 289061.243  83.8%  12.6 1114s
 21694 17056 504552.379   26  208 1781310.56 289937.211  83.7%  12.7 1125s
 21896 17236 838923.800   48  171 1781310.56 291018.659  83.7%  12.7 1135s
H22021 17236                    1781271.3713 291018.659  83.7%  12.7 1135s
H22105 17381                    1781271.3498 291073.142  83.7%  12.7 1147s
 22291 17570 936583.335   45  171 1781271.35 292801.908  83.6%  12.7 1157s
 22503 17725 820484.658   38  187 1781271.35 293384.120  83.5%  12.6 1167s
 22739 17905 869240.758   43  175 1781271.35 294086.735  83.5%  12.6 1177s
 22957 18067 398598.576   25  213 1781271.35 294174.179  83.5%  12.6 1190s
 23160 18264 688097.272   35  192 1781271.35 294367.205  83.5%  12.6 1202s
 23408 18462 938287.653   49  170 1781271.35 294675.138  83.5%  12.6 1211s
 23658 18647 764005.125   39  187 1781271.35 295129.292  83.4%  12.6 1222s
 23898 18767 1258720.13   54  163 1781271.35 296832.156  83.3%  12.6 1233s
 24076 18930 1129712.84   45  176 1781271.35 297352.428  83.3%  12.6 1242s
 24265 19086 1029098.54   49  159 1781271.35 297645.694  83.3%  12.6 1252s
 24467 19244 480246.260   33  202 1781271.35 297916.279  83.3%  12.6 1263s
 24638 19391 1376457.30   68  141 1781271.35 298804.830  83.2%  12.6 1275s
 24849 19576 1371009.82   52  157 1781271.35 299294.531  83.2%  12.6 1288s
 25082 19701 568033.732   27  206 1781271.35 299918.090  83.2%  12.6 1302s
 25301 19846     cutoff   61      1781271.35 300012.352  83.2%  12.6 1313s
 25468 20000 1065488.42   44  178 1781271.35 300431.534  83.1%  12.6 1322s
 25644 20144 759106.752   41  184 1781271.35 300770.937  83.1%  12.7 1331s
 25810 20299 1148157.28   46  175 1781271.35 301439.219  83.1%  12.7 1343s
 26025 20464 921711.896   45  174 1781271.35 301926.454  83.0%  12.7 1352s
 26228 20644 1113734.90   46  174 1781271.35 302366.394  83.0%  12.7 1361s
 26455 20808 1271212.39   60  148 1781271.35 303077.791  83.0%  12.7 1372s
 26665 20985 869425.590   43  180 1781271.35 303617.424  83.0%  12.7 1383s
 26868 21145 1447284.65   57  159 1781271.35 303918.216  82.9%  12.7 1395s
 27083 21302 424226.349   27  207 1781271.35 304445.320  82.9%  12.7 1403s
 27258 21467 1306431.33   53  161 1781271.35 305072.370  82.9%  12.7 1414s
 27456 21624 836109.622   38  190 1781271.35 305894.503  82.8%  12.7 1426s
 27655 21800 1261594.87   55  151 1781271.35 307313.218  82.7%  12.7 1436s
 27866 21939 699510.921   34  192 1781271.35 307496.076  82.7%  12.7 1447s
 28032 22052 1398947.42   56  161 1781271.35 307597.923  82.7%  12.7 1456s
 28316 22225 744338.201   33  196 1781271.35 307985.330  82.7%  12.7 1465s
 28532 22376 1073899.63   45  178 1781271.35 309168.951  82.6%  12.7 1476s
