
Gurobi 11.0.3 (linux64, Java) logging started ter 17 dez 2024 19:23:03 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.0092666967390145e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 140956 rows, 94838 columns and 549744 nonzeros
Model fingerprint: 0x2044c619
Model has 222 quadratic constraints
Variable types: 47312 continuous, 47526 integer (217 binary)
Coefficient statistics:
  Matrix range     [5e-03, 5e+06]
  QMatrix range    [5e-03, 8e+04]
  QLMatrix range   [1e+00, 8e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 140469 rows and 93766 columns
Presolve time: 0.34s
Presolved: 1248 rows, 1315 columns, 45434 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 217 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 682 continuous, 633 integer (219 binary)
Found heuristic solution: objective 997000.12969

Root relaxation: objective 4.050249e+05, 181 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 405024.855    0  221 997000.130 405024.855  59.4%     -    0s
     0     0 406109.313    0  229 997000.130 406109.313  59.3%     -    0s
     0     0 406552.405    0  230 997000.130 406552.405  59.2%     -    0s
     0     0 406931.249    0  230 997000.130 406931.249  59.2%     -    1s
     0     0 407071.239    0  230 997000.130 407071.239  59.2%     -    1s
     0     0 407074.066    0  231 997000.130 407074.066  59.2%     -    1s
     0     0 407186.565    0  232 997000.130 407186.565  59.2%     -    1s
     0     0 407296.591    0  232 997000.130 407296.591  59.1%     -    1s
     0     0 407426.039    0  232 997000.130 407426.039  59.1%     -    1s
     0     0 407556.071    0  232 997000.130 407556.071  59.1%     -    1s
     0     0 407675.858    0  231 997000.130 407675.858  59.1%     -    1s
     0     0 407677.084    0  232 997000.130 407677.084  59.1%     -    1s
     0     0 407805.971    0  232 997000.130 407805.971  59.1%     -    1s
     0     0 407943.506    0  233 997000.130 407943.506  59.1%     -    1s
     0     0 407944.067    0  233 997000.130 407944.067  59.1%     -    1s
     0     0 408093.535    0  233 997000.130 408093.535  59.1%     -    1s
     0     0 408093.861    0  233 997000.130 408093.861  59.1%     -    1s
     0     0 408236.899    0  233 997000.130 408236.899  59.1%     -    1s
     0     0 408239.315    0  234 997000.130 408239.315  59.1%     -    1s
     0     0 408383.399    0  234 997000.130 408383.399  59.0%     -    1s
     0     0 408526.020    0  234 997000.130 408526.020  59.0%     -    1s
     0     0 408667.036    0  235 997000.130 408667.036  59.0%     -    1s
     0     0 408667.050    0  235 997000.130 408667.050  59.0%     -    1s
     0     0 408806.700    0  235 997000.130 408806.700  59.0%     -    1s
     0     0 408946.802    0  235 997000.130 408946.802  59.0%     -    1s
     0     0 408948.137    0  236 997000.130 408948.137  59.0%     -    1s
     0     0 409138.131    0  237 997000.130 409138.131  59.0%     -    1s
     0     0 409261.896    0  237 997000.130 409261.896  59.0%     -    1s
     0     0 409352.670    0  238 997000.130 409352.670  58.9%     -    1s
     0     0 409511.886    0  238 997000.130 409511.886  58.9%     -    1s
     0     0 409641.249    0  238 997000.130 409641.249  58.9%     -    1s
     0     0 409658.141    0  238 997000.130 409658.141  58.9%     -    1s
     0     0 409792.188    0  238 997000.130 409792.188  58.9%     -    1s
     0     0 409927.050    0  238 997000.130 409927.050  58.9%     -    1s
     0     0 410042.454    0  239 997000.130 410042.454  58.9%     -    1s
     0     0 410176.401    0  239 997000.130 410176.401  58.9%     -    1s
     0     0 410310.866    0  239 997000.130 410310.866  58.8%     -    2s
     0     0 410445.852    0  239 997000.130 410445.852  58.8%     -    2s
     0     0 410528.943    0  240 997000.130 410528.943  58.8%     -    2s
     0     0 410599.249    0  240 997000.130 410599.249  58.8%     -    2s
     0     0 410655.526    0  239 997000.130 410655.526  58.8%     -    2s
     0     0 410656.336    0  240 997000.130 410656.336  58.8%     -    2s
     0     0 410708.245    0  239 997000.130 410708.245  58.8%     -    2s
     0     0 410709.105    0  241 997000.130 410709.105  58.8%     -    2s
     0     0 410746.194    0  240 997000.130 410746.194  58.8%     -    2s
     0     0 410785.252    0  241 997000.130 410785.252  58.8%     -    2s
     0     0 410785.404    0  241 997000.130 410785.404  58.8%     -    2s
     0     0 410823.211    0  241 997000.130 410823.211  58.8%     -    2s
     0     0 410860.828    0  241 997000.130 410860.828  58.8%     -    2s
     0     0 410897.824    0  241 997000.130 410897.824  58.8%     -    2s
     0     0 410934.297    0  241 997000.130 410934.297  58.8%     -    2s
